timestamp,open,high,low,close,volume
2023-08-01,19.69,19.69,19.3608,19.37,23854
2023-07-31,19.97,20.09,19.6405,19.94,52488
2023-07-28,19.21,19.93,19.1,19.89,104290
2023-07-27,20.08,20.1,18.86,18.86,36821
2023-07-26,19.49,19.975,19.49,19.69,91460
2023-07-25,20.47,20.48,19.77,19.81,88516
2023-07-24,18.87,20.21,18.82,20.18,201423
2023-07-21,20.02,20.02,18.9499,19.31,207071
2023-07-20,21.16,21.25,19.46,19.6,128262
2023-07-19,22.82,23.06,22.18,22.34,125255
2023-07-18,22.2,22.699,21.9489,22.51,80131
2023-07-17,21.91,22.3198,21.7097,22.25,78319
2023-07-14,21.0,21.75,20.98,21.4,121760
2023-07-13,20.79,21.17,20.4,21.0634,34641
2023-07-12,20.86,20.899,20.51,20.55,15710
2023-07-11,20.2,20.34,20.03,20.3,26835
2023-07-10,20.95,21.05,19.94,20.33,101888
2023-07-07,21.16,21.31,20.7304,20.79,57990
2023-07-06,21.13,21.25,20.6636,21.01,54781
2023-07-05,21.25,21.64,21.15,21.58,70100
2023-07-03,20.99,21.69,20.88,21.32,120240
2023-06-30,19.54,19.8267,19.43,19.57,64744
2023-06-29,19.46,19.46,18.89,19.24,30227
2023-06-28,18.48,19.42,18.47,19.11,136695
2023-06-27,17.86,18.56,17.71,18.5349,104774
2023-06-26,18.52,19.29,17.68,17.71,64988
2023-06-23,19.38,19.67,18.8,19.16,41758
2023-06-22,18.59,19.93,18.46,19.9,54022
2023-06-21,20.93,21.09,19.32,19.42,214067
2023-06-20,19.64,20.86,19.64,20.84,55717
2023-06-16,19.36,19.82,19.27,19.58,42985
2023-06-15,18.51,19.3953,18.3546,19.14,40251
2023-06-14,19.59,19.659,18.68,19.25,53581
2023-06-13,18.84,19.4999,18.75,19.45,146101
2023-06-12,18.58,18.68,18.14,18.57,44173
2023-06-09,18.55,18.82,17.95,18.12,120710
2023-06-08,16.24,17.26,16.24,17.26,46340
2023-06-07,16.62,16.85,16.215,16.33,54245
2023-06-06,15.56,16.07,15.3,16.02,86427
2023-06-05,15.69,15.97,15.43,15.69,54749
2023-06-02,15.06,15.63,15.0599,15.37,40561
2023-06-01,14.34,14.96,14.11,14.76,28874
2023-05-31,14.1,14.47,13.73,14.4436,67811
2023-05-30,14.15,14.51,13.9201,14.23,54807
2023-05-26,12.84,13.96,12.84,13.51,108582
2023-05-25,12.95,12.97,12.46,12.79,93601
2023-05-24,12.56,12.74,12.24,12.62,69788
2023-05-23,12.94,13.47,12.88,12.92,91142
2023-05-22,12.5,13.2,12.44,13.17,80016
2023-05-19,12.12,12.55,12.12,12.44,33027
2023-05-18,11.95,12.16,11.81,12.16,24419
2023-05-17,11.4,11.93,11.37,11.894,44989
2023-05-16,11.21,11.52,11.14,11.3,29571
2023-05-15,11.32,11.54,11.14,11.265,24822
2023-05-12,12.08,12.19,11.38,11.41,56688
2023-05-11,11.48,11.86,11.33,11.7634,64033
2023-05-10,11.77,11.94,11.33,11.48,71141
2023-05-09,11.5,11.56,11.325,11.52,36715
2023-05-08,11.91,11.91,11.59,11.75,26281
2023-05-05,11.1,11.668,11.09,11.6,54375
2023-05-04,10.99,11.01,10.79,10.88,47936
2023-05-03,10.8,11.17,10.8,10.83,90704
2023-05-02,10.95,11.22,10.7,10.81,44406
2023-05-01,11.03,11.03,10.69,10.92,128945
2023-04-28,10.67,11.16,10.6,11.14,32852
2023-04-27,10.15,10.78,10.14,10.7772,118354
2023-04-26,10.81,10.81,10.23,10.26,77434
2023-04-25,10.78,11.06,10.68,10.85,75375
2023-04-24,11.18,11.26,10.724,11.02,139401
2023-04-21,11.21,11.28,10.91,11.2156,51785
2023-04-20,11.32,11.62,10.85,11.05,177504
2023-04-19,12.48,12.85,12.36,12.58,59938
2023-04-18,13.18,13.22,12.88,12.9446,90815
2023-04-17,13.14,13.37,12.81,13.18,41798
2023-04-14,12.89,13.04,12.75,12.9936,20484
2023-04-13,12.81,13.12,12.68,13.1,50682
2023-04-12,13.5,13.56,12.6001,12.63,39939
2023-04-11,13.15,13.3892,13.118,13.16,43494
2023-04-10,12.58,13.009,12.25,12.97,74883
2023-04-06,12.88,13.135,12.58,13.0474,37838
2023-04-05,13.52,13.52,12.93,13.085,90116
2023-04-04,14.14,14.25,13.56,13.74,57711
2023-04-03,14.34,14.58,13.67,13.9,253571
2023-03-31,14.15,15.08,14.15,15.06,73710
2023-03-30,14.02,14.12,13.91,13.98,34133
2023-03-29,13.79,13.96,13.49,13.85,53896
2023-03-28,13.67,13.68,13.1,13.43,72570
2023-03-27,13.9,14.1509,13.53,13.68,77946
2023-03-24,13.67,13.71,13.285,13.5241,80731
2023-03-23,14.01,14.34,13.4,13.73,126870
2023-03-22,14.37,14.45,13.62,13.62,115051
2023-03-21,13.4,14.22,13.39,14.22,96458
2023-03-20,12.51,13.1799,12.36,12.93,79738
2023-03-17,13.08,13.15,12.47,12.6659,61211
2023-03-16,12.69,13.15,12.57,13.04,77049
2023-03-15,12.75,12.86,12.4386,12.71,166606
2023-03-14,12.49,13.0,12.49,12.98,109695
2023-03-13,11.6,12.4,11.3,12.19,123319
2023-03-10,12.22,12.519,11.718,12.1199,60843
2023-03-09,12.74,13.15,12.07,12.09,130218
2023-03-08,13.12,13.24,12.71,12.88,109240
2023-03-07,13.71,13.9456,13.2706,13.39,55325
2023-03-06,14.38,14.38,13.8197,13.9508,69041
2023-03-03,14.04,14.5283,13.92,14.3213,37935
2023-03-02,13.32,13.85,13.29,13.71,73480
2023-03-01,15.06,15.14,14.4014,14.79,190710
2023-02-28,15.49,15.49,14.9965,15.0786,77734
2023-02-27,14.74,15.35,14.67,15.23,77458
2023-02-24,14.17,14.28,13.94,14.24,53555
2023-02-23,14.93,14.97,14.24,14.75,169979
2023-02-22,14.331,14.64,13.82,14.61,89162
2023-02-21,14.98,15.3904,14.31,14.31,77254
2023-02-17,14.55,15.31,14.36,15.3,161837
2023-02-16,15.54,16.19,14.7564,14.7564,238434
2023-02-15,15.66,15.9,15.17,15.8546,164773
2023-02-14,13.82,15.46,13.74,15.4159,169214
2023-02-13,14.07,14.24,13.56,14.09,81382
2023-02-10,14.84,15.14,13.95,14.32,168273
2023-02-09,15.32,15.8922,15.075,15.2891,269133
2023-02-08,14.27,14.88,14.18,14.7246,261220
2023-02-07,14.32,14.37,13.68,14.335,260829
2023-02-06,14.02,14.35,13.73,14.1543,194595
2023-02-03,13.32,14.52,13.2,13.74,478897
2023-02-02,13.49,14.2498,13.1999,13.57,408176
2023-02-01,12.28,13.145,12.029,12.96,236907
2023-01-31,11.45,12.285,11.35,12.24,77822
2023-01-30,12.67,12.82,11.645,11.68,163786
2023-01-27,11.33,12.9,11.211,12.6689,291584
2023-01-26,11.11,11.1658,10.69,11.13,149492
2023-01-25,9.57,9.9401,9.295,9.81,98227
2023-01-24,9.68,9.9423,9.6,9.7478,49201
2023-01-23,9.09,9.865,8.99,9.7522,94012
2023-01-20,8.48,8.89,8.4,8.88,89065
2023-01-19,8.38,8.5901,8.21,8.38,67060
2023-01-18,9.17,9.17,8.39,8.52,172689
2023-01-17,8.25,8.819,8.25,8.7695,140396
2023-01-13,7.54,8.0058,7.48,8.0058,38198
2023-01-12,8.03,8.14,7.7,8.1,39048
2023-01-11,7.97,8.2602,7.91,8.0663,293067
2023-01-10,7.9,8.04,7.455,7.73,50329
2023-01-09,7.67,8.0765,7.64,7.81,19448
2023-01-06,6.55,7.28,6.4,7.25,59812
2023-01-05,7.03,7.1,6.84,7.07,16279
2023-01-04,6.96,7.34,6.88,7.314,19606
2023-01-03,7.65,7.65,6.64,6.885,46813
2022-12-30,7.88,8.21,7.88,8.1303,29953
2022-12-29,7.9,8.09,7.69,7.9953,74441
2022-12-28,7.2,7.56,6.9391,7.2726,107235
2022-12-27,7.7999,7.7999,6.9801,7.06,59796
2022-12-23,8.39,8.6284,8.0201,8.2052,28063
2022-12-22,9.24,9.26,8.165,8.37,44754
2022-12-21,9.58,9.63,9.3,9.4206,44672
2022-12-20,10.09,10.3216,9.4,9.4369,27109
2022-12-19,10.81,10.88,10.193,10.4848,22020
2022-12-16,11.414,11.46,10.52,10.5251,12501
